City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Temp_C,Wind KmH
93,dudinka,69.4058,86.1778,274.05,95,99,2.39,RU,1684988270,0.9000000000000341,8.604000000000001
94,wailua homesteads,22.0669,-159.378,299.39,75,40,7.2,US,1684988164,26.24000000000001,25.92
95,alofi,-19.0595,-169.9187,297.09,83,100,2.06,NU,1684988574,23.939999999999998,7.416
96,linqiong,30.4159,103.4609,296.05,72,100,0.28,CN,1684988574,22.900000000000034,1.0080000000000002
97,georgetown,5.4112,100.3354,306.11,66,40,2.57,MY,1684987915,32.960000000000036,9.251999999999999
98,ternate,0.8,127.4,301.7,78,59,4.76,ID,1684988575,28.55000000000001,17.136
99,pacific grove,36.6177,-121.9166,286.49,86,75,5.66,US,1684988246,13.340000000000032,20.376
100,ngardmau,7.6099,134.5744,302.36,71,12,5.66,PW,1684988575,29.210000000000036,20.376
101,poronaysk,49.2167,143.1167,294.21,46,63,2.12,RU,1684988379,21.060000000000002,7.632000000000001
102,galliano,29.4422,-90.2992,296.15,79,3,3.4,US,1684988575,23.0,12.24
103,port elizabeth,-33.918,25.5701,289.44,85,20,3.6,ZA,1684988195,16.29000000000002,12.96
104,papatowai,-46.5619,169.4708,287.79,67,93,3.52,NZ,1684988188,14.640000000000043,12.672
105,saynshand,44.8824,110.1163,293.1,19,3,8.91,MN,1684988576,19.950000000000045,32.076
106,iwamizawa,43.2003,141.7597,298.75,40,8,2.62,JP,1684988576,25.600000000000023,9.432
107,saipan,15.1355,145.701,302.54,100,100,12.96,MP,1684988217,29.390000000000043,46.656000000000006
108,narvik,68.4384,17.4272,280.58,90,100,4.1,NO,1684988576,7.430000000000007,14.76
109,uturoa,-16.7333,-151.4333,300.6,70,26,2.53,PF,1684988159,27.450000000000045,9.107999999999999
110,waingapu,-9.6567,120.2641,302.08,66,26,6.44,ID,1684988206,28.930000000000007,23.184
111,isangel,-19.55,169.2667,300.21,54,40,1.54,VU,1684988252,27.060000000000002,5.5440000000000005
112,senanga,-16.1167,23.2667,286.81,53,2,2.13,ZM,1684988577,13.660000000000025,7.668
113,argo,37.6333,22.7333,290.25,69,3,1.33,GR,1684988577,17.100000000000023,4.788
114,mount gambier,-37.8333,140.7667,286.0,67,76,6.1,AU,1684988325,12.850000000000023,21.96
115,upper grand lagoon,30.1633,-85.7408,295.42,80,9,0.89,US,1684988577,22.27000000000004,3.204
116,minas de marcona,-15.2119,-75.1103,287.61,89,55,5.09,PE,1684988334,14.460000000000036,18.324
117,bubaque,11.2833,-15.8333,300.57,69,89,5.51,GW,1684988310,27.420000000000016,19.836
118,broome,42.2506,-75.833,281.36,85,75,4.63,US,1684988578,8.210000000000036,16.668
119,anadyr,64.75,177.4833,277.43,75,0,4.0,RU,1684988185,4.28000000000003,14.4
120,kzyltu,53.6364,72.3414,296.09,31,67,3.94,KZ,1684988578,22.939999999999998,14.184
121,aykhal,66.0,111.5,274.36,80,100,6.47,RU,1684988211,1.2100000000000364,23.291999999999998
122,nelson bay,-32.7167,152.15,295.93,56,100,2.24,AU,1684988578,22.78000000000003,8.064000000000002
123,lubao,14.9167,120.55,306.99,59,83,1.82,PH,1684988579,33.84000000000003,6.5520000000000005
124,port lincoln,-34.7333,135.8667,286.45,70,76,8.34,AU,1684988212,13.300000000000011,30.024
125,santa ana,33.7456,-117.8678,290.88,78,100,3.09,US,1684988469,17.730000000000018,11.124
126,namibe,-15.1961,12.1522,292.39,84,2,6.17,AO,1684988339,19.24000000000001,22.212
127,sandnessjoen,66.0217,12.6316,279.21,79,40,8.75,NO,1684988265,6.060000000000002,31.5
128,colonia,50.9333,6.95,283.07,87,0,1.03,DE,1684987960,9.920000000000016,3.708
129,primorsko-akhtarsk,46.0497,38.1747,288.55,95,83,0.57,RU,1684988579,15.400000000000034,2.052
130,kuanda,56.3161,116.0806,282.27,77,100,1.74,RU,1684988236,9.120000000000005,6.264
131,gabu,12.2833,-14.2167,301.28,62,92,3.85,GW,1684988580,28.129999999999995,13.860000000000001
132,celestun,20.8667,-90.4,299.23,76,1,5.14,MX,1684988580,26.08000000000004,18.503999999999998
133,songjiang,31.036,121.2146,300.13,50,70,3.56,CN,1684988580,26.980000000000018,12.816
134,bilibino,68.0546,166.4372,284.6,38,15,1.11,RU,1684988201,11.450000000000045,3.9960000000000004
135,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,41,75,6.0,RU,1684988156,13.330000000000041,21.6
